Question,Answer1,Answer2,question_note,answer_note
To handle,manejar,,Verb,Él sabe manejar situaciones difíciles.
To demand,exigir,,Verb,Los clientes exigen un buen servicio.
To provide,brindar,,Verb,Ellos brindan ayuda a los vecinos.
To involve,involucrar,,Verb,El proyecto involucra a todos aquí.
To waste,desperdiciar,,Verb,No hay que desperdiciar el tiempo.
To fix,arreglar,,Verb,Tengo que arreglar mi ordenador hoy.
To move,mudarse,,Reflexive,Me voy a mudar a Madrid pronto.
To realize,darse cuenta,,Phrase,Me di cuenta de que era tarde.
To turn out,resultar,,Verb,El viaje resultó ser muy caro.
To stop,detenerse,,Reflexive,El coche se detuvo en el semáforo.
