Question,Answer1,Answer2,question_note,answer_note
To delay,tardar,,Verb,¿Cuánto vas a tardar en llegar?
To drop,soltar,,Verb,Suelte la bolsa en el suelo.
To pick up,recoger,,Verb,Paso a recogerte a las ocho.
To surprise,sorprender,,Verb,Ella me sorprendió con un regalo.
To try,intentar,,Verb,Voy a intentar cocinar algo nuevo.
To guess,adivinar,,Verb,Adivina quién llamó por teléfono ayer.
To save,ahorrar,,Verb,Quiero ahorrar dinero para un coche.
To store,guardar,,Verb,Guarda el ticket en la cartera.
To count on,contar con,,Phrase,Puedes contar conmigo para el viaje.
To trust,confiar,,Verb,Confío plenamente en tu palabra ahora.
