Question,Answer1,Answer2,question_note,answer_note
To notice,fijarse,,Reflexive,Fíjate en el color de la pared.
To warn,advertir,,Verb,Te advierto que el perro muerde.
To remember,acordarse,,Reflexive,No me acuerdo de su nombre.
To complain,quejarse,,Reflexive,Él se queja siempre del frío.
To find out,enterarse,,Reflexive,Me acabo de enterar de la noticia.
To forget,olvidarse,,Reflexive,Se me olvidó traer las llaves.
To belong,pertenecer,,Verb,Este libro le pertenece a ella.
To look like,parecerse,,Reflexive,Él se parece mucho a su padre.
To dare,atreverse,,Reflexive,No me atrevo a saltar al agua.
To take advantage,aprovechar,,Verb,Debes aprovechar esta oportunidad única.
