Question,Answer1,Answer2,question_note,answer_note
To enjoy,disfrutar,,Verb,Disfruto mucho caminando por aquí.
To avoid,evitar,,Verb,Quiero evitar el tráfico del centro.
To fit,caber,,Verb,La mesa no cabe por la puerta.
To achieve,lograr,,Verb,Ella trabajó duro para lograr sus metas.
To lack,carecer,,Verb,El informe carece de datos reales.
To carry out,llevar a cabo,,Phrase,Vamos a llevar a cabo el plan.
To support,apoyar,,Verb,Mis amigos me van a apoyar siempre.
To consist,constar,,Verb,El examen consta de diez preguntas.
To develop,desarrollar,,Verb,Queremos desarrollar nuevas ideas hoy.
To emphasize,destacar,,Verb,Es importante destacar este punto.
